event_ts_min,ts_min_bignt,room,timestamp,co2,light,temp,humidity,pir
2013-08-23 23:23:00,1377300180,748,1377300207.0,542.0,4.666666666666667,23.221666666666664,50.504999999999995,0.0
2013-08-23 23:24:00,1377300240,419,1377300266.0,712.6,145.2,23.52,53.0,27.2
2013-08-23 23:24:00,1377300240,666,1377300273.0,473.6666666666667,144.83333333333334,23.948333333333334,49.94499999999999,0.0
2013-08-23 23:24:00,1377300240,726,1377300265.0,461.8333333333333,3.3333333333333335,24.518333333333334,48.17499999999999,0.0
2013-08-23 23:24:00,1377300240,748,1377300267.0,549.6666666666666,5.0,23.209999999999997,50.51,0.0
2013-08-23 23:25:00,1377300300,666,1377300333.0,470.5,144.33333333333334,23.936666666666667,49.97,0.0
2013-08-23 23:25:00,1377300300,726,1377300325.0,465.0,3.8333333333333335,24.513333333333335,48.169999999999995,0.0
2013-08-23 23:25:00,1377300300,748,1377300327.0,545.3333333333334,4.833333333333333,23.208333333333332,50.52333333333333,0.0
2013-08-23 23:26:00,1377300360,419,1377300363.0,702.0,141.0,23.53,52.97,30.0
2013-08-23 23:26:00,1377300360,666,1377300393.0,477.3333333333333,143.16666666666666,23.921666666666667,50.004999999999995,0.0
2013-08-23 23:26:00,1377300360,726,1377300385.0,458.0,3.5,24.505,48.185,0.0
2013-08-23 23:26:00,1377300360,748,1377300387.0,544.5,5.0,23.213333333333335,50.53,0.0
2013-08-23 23:27:00,1377300420,419,1377300441.75,699.0,133.25,162.48,53.0,29.25
2013-08-23 23:27:00,1377300420,666,1377300453.0,465.1666666666667,143.0,23.911666666666665,50.025,0.0
2013-08-23 23:27:00,1377300420,726,1377300445.0,460.8333333333333,3.6666666666666665,24.51,48.165,0.0
2013-08-23 23:27:00,1377300420,748,1377300447.0,542.8333333333334,4.666666666666667,23.208333333333332,50.565,0.0
2013-08-23 23:28:00,1377300480,666,1377300513.0,475.3333333333333,142.5,23.90833333333333,50.06,0.0
2013-08-23 23:28:00,1377300480,726,1377300505.0,461.3333333333333,3.6666666666666665,24.51,48.17499999999999,0.0
2013-08-23 23:28:00,1377300480,748,1377300507.0,536.6666666666666,4.666666666666667,23.203333333333333,50.56,0.0
2013-08-23 23:29:00,1377300540,419,1377300574.6666667,702.0,136.66666666666666,23.546666666666667,53.01,29.333333333333332
2013-08-23 23:29:00,1377300540,666,1377300573.0,476.8333333333333,137.66666666666666,23.89833333333333,50.080000000000005,0.0
2013-08-23 23:29:00,1377300540,726,1377300565.0,464.8333333333333,3.1666666666666665,24.505,48.17499999999999,0.0
2013-08-23 23:29:00,1377300540,748,1377300567.0,543.3333333333334,4.666666666666667,23.208333333333332,50.574999999999996,0.0
